country,revenue,orders,customers,quantity,revenue_percentage
United Kingdom,15986060.337,49108,5410,8513706,84.7817971797618
EIRE,609953.78,806,5,327431,3.2348794246258734
Netherlands,548330.7,250,23,381853,2.9080624753578905
Germany,411959.161,1095,107,221816,2.1848183541137125
France,321733.39,746,95,181572,1.7063075230489295
Australia,166444.42,117,15,103375,0.8827351305238034
Switzerland,99403.06,123,22,52256,0.5271824260829258
Spain,91013.44,188,41,44667,0.4826882201146806
Sweden,87775.52,129,19,87858,0.46551596685545066
Denmark,64459.590000000004,53,12,234764,0.34186033146777073
Belgium,63208.89,183,29,34598,0.3352272654404078
Portugal,51403.68,124,24,27368,0.27261853641115646
Channel Islands,41080.18,79,14,20387,0.2178680309874091
Japan,39662.1,56,10,30138,0.21034726799701747
Norway,35455.91,53,13,23528,0.18803981137781742
Italy,30254.1,92,17,15122,0.16045210114211214
Finland,29514.45,68,15,14317,0.1565293800362203
Cyprus,24032.56,45,11,10652,0.1274562703178703
Austria,23177.6,51,13,11306,0.12292200460206777
Greece,18995.49,21,5,7707,0.100742255850413
Hong Kong,13830.5,21,0,7015,0.07334981985403573
Singapore,13158.16,14,1,6987,0.06978407618022334
Israel,11101.37,11,4,5482,0.05887592564498728
Poland,10279.93,38,6,5504,0.05451943267503688
United Arab Emirates,9948.65,22,4,6728,0.05276249486937222
Unspecified,9678.47,28,7,6711,0.051329599867155136
USA,6286.54,25,9,3700,0.03334055721088824
Malta,5192.22,16,2,2491,0.027536849834967746
Iceland,4921.53,8,1,2967,0.026101250056486204
Lithuania,4892.68,6,1,2306,0.02594824457564394
Canada,4883.04,8,5,3657,0.025897119000762848
RSA,3369.03,5,2,1970,0.01786759289850996
Thailand,3070.54,2,1,2552,0.01628455629620121
Bahrain,2861.55,12,2,1275,0.01517618141089013
Lebanon,1865.91,3,1,457,0.009895821724727508
Brazil,1411.87,2,2,545,0.007487828361759692
European Community,1291.75,5,1,497,0.006850773999237241
Bermuda,1253.1399999999999,1,0,2798,0.006646006525569309
Korea,949.82,3,2,598,0.005037354100991303
Czech Republic,707.72,5,1,592,0.003753380897805442
West Indies,536.41,1,1,395,0.0028448412470918117
Saudi Arabia,131.17,2,1,75,0.000695657848252331
Nigeria,-6.659999999999996,3,1,56,-3.5321195924071986e-05
