stock_code,description,revenue,quantity,orders,customers
22423,REGENCY CAKESTAND 3 TIER,314045.01999999996,25045,4261,1316
DOT,DOTCOM POSTAGE,309844.1,1417,1423,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,248159.1,90510,5495,1494
47566,PARTY BUNTING,147079.73,27932,2699,894
85099B,JUMBO BAG RED RETROSPOT,143834.41,76095,3320,861
84879,ASSORTED COLOUR BIRD ORNAMENT,128550.42,79579,2827,1012
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,116298.59,34494,2034,896
POST,POSTAGE,110430.41,5061,2077,496
79321,CHILLI LIGHTS,79905.13,15703,1161,306
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,70969.95,22028,762,300
85099F,JUMBO BAG STRAWBERRY,67473.53,36580,1859,549
23084,RABBIT NIGHT LIGHT,66661.63,30631,1009,450
21137,BLACK RECORD COVER FRAME,65107.0,18716,641,198
21931,JUMBO STORAGE BAG SUKI,60826.92,28793,2364,546
21621,VINTAGE UNION JACK BUNTING,59742.04,6836,1302,583
85099C,JUMBO  BAG BAROQUE BLACK WHITE,58486.73,30327,1894,508
22114,HOT WATER BOTTLE TEA AND SYMPATHY,58393.94,11458,1596,626
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,57467.100000000006,18186,1444,701
22112,CHOCOLATE HOT WATER BOTTLE,57294.46,10910,1734,631
15056N,EDWARDIAN PARASOL NATURAL,57134.9,11131,1054,348
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,56527.19,26841,2215,658
82484,WOOD BLACK BOARD ANT WHITE FINISH,56420.729999999996,9782,1200,452
22470,HEART OF WICKER LARGE,52477.43,17385,1979,827
22178,VICTORIAN GLASS HANGING T-LIGHT,51119.88,39073,1859,593
22386,JUMBO BAG PINK POLKADOT,49255.93,24774,1460,432
21733,RED HANGING HEART T-LIGHT HOLDER,49244.240000000005,17152,1795,744
21929,JUMBO BAG PINK VINTAGE PAISLEY,49168.02,25336,1640,505
22189,CREAM HEART CARD HOLDER,49132.21,16143,1313,537
22111,SCOTTIE DOG HOT WATER BOTTLE,48835.29,9559,1704,719
22469,HEART OF WICKER SMALL,48510.46,27668,2174,886
22457,NATURAL SLATE HEART CHALKBOARD ,46972.280000000006,15264,2077,874
21731,RED TOADSTOOL LED NIGHT LIGHT,46857.939999999995,27920,1561,416
21754,HOME BUILDING BLOCK WORD,46285.340000000004,7556,2086,682
21232,STRAWBERRY CERAMIC TRINKET BOX,46246.76,35847,2488,687
15056BL,EDWARDIAN PARASOL BLACK,46196.1,9291,869,322
21181,PLEASE ONE PERSON METAL SIGN,46025.270000000004,22752,1647,562
21623,VINTAGE UNION JACK MEMOBOARD,44902.979999999996,6109,543,313
